flight_number,scheduled_departure_date_local,load_factor,special_service_requests,departure_delay_minutes
2609,2025-08-07,0.0079,0,-5
1785,2025-08-09,0.0056,0,89
1124,2025-08-07,0.0112,0,4
5360,2025-08-07,0.0200,0,-5
5712,2025-08-04,0.0132,0,-4
920,2025-08-03,0.0060,0,22
1414,2025-08-01,0.0079,0,40
3525,2025-08-14,0.0263,0,0
265,2025-08-06,0.0159,4,162
2011,2025-08-02,0.0067,0,7
2683,2025-08-11,0.0060,0,-4
1584,2025-08-12,0.0050,5,1
2323,2025-08-10,0.0050,2,-1
5505,2025-08-07,0.0200,0,54
2427,2025-08-05,0.0079,0,-2
714,2025-08-03,0.0067,0,18
1580,2025-08-14,0.0060,0,14
587,2025-08-12,0.0060,0,51
399,2025-08-10,0.0112,0,235
1740,2025-08-14,0.0168,0,-11
2008,2025-08-04,0.0171,6,152
987,2025-08-02,0.0094,0,5
987,2025-08-02,0.0094,0,5
2481,2025-08-01,0.0067,0,-5
953,2025-08-07,0.0165,0,18
1316,2025-08-03,0.0079,0,42
2483,2025-08-05,0.0056,0,-4
1941,2025-08-04,0.0079,0,-2
5557,2025-08-13,0.0132,0,-3
3535,2025-08-11,0.0132,0,-3
970,2025-08-09,0.0063,0,0
1803,2025-08-04,0.0050,0,-4
4429,2025-08-01,0.0200,0,-6
5819,2025-08-01,0.0200,4,-7
1068,2025-08-06,0.0114,1,-7
2424,2025-08-04,0.0056,0,-1
468,2025-08-10,0.0056,0,13
2177,2025-08-14,0.0079,0,9
5280,2025-08-05,0.0132,0,-4
416,2025-08-11,0.0041,0,-6
611,2025-08-04,0.0043,0,-3
2616,2025-08-13,0.0120,0,2
2616,2025-08-13,0.0120,0,2
1097,2025-08-05,0.0060,0,-4
1842,2025-08-09,0.0050,0,6
5859,2025-08-14,0.0263,0,-6
5234,2025-08-03,0.0200,0,-3
288,2025-08-10,0.0114,0,2
695,2025-08-14,0.0168,0,34
2144,2025-08-03,0.0200,0,2
2144,2025-08-03,0.0200,0,2
5309,2025-08-09,0.0200,0,1
2067,2025-08-05,0.0120,0,-8
1933,2025-08-12,0.0056,0,21
791,2025-08-15,0.0050,0,60
944,2025-08-14,0.0031,0,2
5392,2025-08-04,0.0132,0,10
399,2025-08-04,0.0060,0,-4
2008,2025-08-12,0.0085,2,-7
786,2025-08-13,0.0200,0,-4
786,2025-08-13,0.0200,0,-4
1775,2025-08-13,0.0056,0,-3
5988,2025-08-14,0.0263,0,-8
1801,2025-08-07,0.0043,0,19
1599,2025-08-15,0.0028,0,-1
3551,2025-08-12,0.0132,0,231
3598,2025-08-07,0.0132,0,19
5564,2025-08-10,0.0200,0,47
617,2025-08-03,0.0060,0,-2
1068,2025-08-06,0.0057,0,-7
2201,2025-08-12,0.0056,2,289
2137,2025-08-04,0.0060,0,-1
4809,2025-08-14,0.0132,0,-3
953,2025-08-07,0.0041,0,18
2628,2025-08-05,0.0056,0,24
1983,2025-08-03,0.0056,0,0
2006,2025-08-06,0.0060,0,6
5585,2025-08-14,0.0200,0,-4
1834,2025-08-13,0.0060,0,-8
416,2025-08-03,0.0041,0,34
2148,2025-08-01,0.0067,0,62
2635,2025-08-02,0.0079,0,0
1778,2025-08-01,0.0079,0,-2
5253,2025-08-07,0.0132,0,7
602,2025-08-10,0.0056,0,52
1975,2025-08-10,0.0067,0,-4
2347,2025-08-04,0.0079,0,22
1335,2025-08-05,0.0056,0,-2
1328,2025-08-08,0.0056,0,-8
2361,2025-08-08,0.0043,0,-3
1779,2025-08-14,0.0112,0,15
2677,2025-08-14,0.0057,0,29
1801,2025-08-05,0.0043,0,3
2011,2025-08-14,0.0067,0,-5
503,2025-08-11,0.0043,0,3
4780,2025-08-14,0.0200,0,-7
739,2025-08-03,0.0067,0,175
3707,2025-08-11,0.0132,0,3
1710,2025-08-04,0.0056,0,80
293,2025-08-05,0.0060,0,-11
1044,2025-08-05,0.0043,0,-3
5555,2025-08-15,0.0132,0,72
4809,2025-08-14,0.0132,0,-3
2672,2025-08-10,0.0079,0,-2
1933,2025-08-04,0.0056,0,-4
3426,2025-08-02,0.0132,0,-8
2370,2025-08-14,0.0112,0,-5
2137,2025-08-04,0.0120,0,-1
1363,2025-08-06,0.0050,0,40
920,2025-08-10,0.0060,0,134
2677,2025-08-07,0.0057,0,217
5229,2025-08-04,0.0132,0,-7
1677,2025-08-06,0.0056,0,-5
1387,2025-08-11,0.0029,0,2
5564,2025-08-15,0.0200,0,36
1617,2025-08-02,0.0317,0,8
4491,2025-08-03,0.0400,0,-10
4491,2025-08-03,0.0400,0,-10
1495,2025-08-09,0.0112,0,45
920,2025-08-02,0.0060,0,9
2666,2025-08-15,0.0050,0,-7
5868,2025-08-14,0.0132,0,3
2865,2025-08-10,0.0060,0,11
1414,2025-08-06,0.0200,0,132
1414,2025-08-06,0.0200,0,132
1502,2025-08-11,0.0056,0,-5
1933,2025-08-12,0.0056,0,21
3465,2025-08-02,0.0263,0,-5
3465,2025-08-02,0.0263,0,-5
1634,2025-08-04,0.0056,0,3
219,2025-08-07,0.0126,0,36
219,2025-08-07,0.0126,0,36
1538,2025-08-02,0.0317,0,-6
1538,2025-08-02,0.0317,0,-6
972,2025-08-04,0.0094,0,31
359,2025-08-01,0.0067,0,-4
2488,2025-08-04,0.0060,0,25
4599,2025-08-13,0.0200,0,55
2684,2025-08-13,0.0112,0,-3
1198,2025-08-06,0.0056,0,41
1398,2025-08-04,0.0060,0,3
576,2025-08-14,0.0050,0,12
1270,2025-08-07,0.0112,0,-4
953,2025-08-09,0.0082,0,25
1583,2025-08-01,0.0056,0,15
1301,2025-08-12,0.0159,0,267
1842,2025-08-09,0.0150,0,6
1842,2025-08-09,0.0150,0,6
1842,2025-08-09,0.0150,0,6
374,2025-08-14,0.0133,0,-2
445,2025-08-04,0.0056,0,3
1933,2025-08-04,0.0056,0,-4
312,2025-08-10,0.0112,0,62
1975,2025-08-07,0.0079,0,72
2090,2025-08-06,0.0060,0,-6
2424,2025-08-06,0.0112,0,10
1803,2025-08-04,0.0100,0,-4
5968,2025-08-03,0.0132,0,-1
739,2025-08-01,0.0079,0,24
3421,2025-08-08,0.0132,0,-7
1832,2025-08-15,0.0060,0,-7
5841,2025-08-12,0.0143,0,-9
349,2025-08-15,0.0079,0,-2
1124,2025-08-05,0.0223,0,22
1124,2025-08-05,0.0223,0,22
1124,2025-08-05,0.0223,0,22
4529,2025-08-05,0.0200,0,-8
2251,2025-08-04,0.0079,0,0
4766,2025-08-08,0.0200,0,70
3440,2025-08-04,0.0132,0,-1
1643,2025-08-06,0.0056,0,-9
5538,2025-08-11,0.0200,0,834
2202,2025-08-12,0.0056,0,73
1756,2025-08-04,0.0120,0,10
3716,2025-08-13,0.0132,0,7
1584,2025-08-08,0.0050,0,-4
2067,2025-08-11,0.0120,0,-9
3451,2025-08-07,0.0132,0,4
118,2025-08-05,0.0057,0,-6
422,2025-08-09,0.0157,0,-4
422,2025-08-09,0.0157,0,-4
1983,2025-08-03,0.0056,0,0
782,2025-08-02,0.0223,0,57
5414,2025-08-10,0.0200,0,71
4613,2025-08-04,0.0200,0,-5
5748,2025-08-12,0.0286,0,16
1584,2025-08-08,0.0050,0,-4
2280,2025-08-09,0.0050,0,-4
1502,2025-08-13,0.0056,0,-3
5999,2025-08-15,0.0143,0,-2
587,2025-08-04,0.0060,0,-6
2370,2025-08-11,0.0056,0,0
5219,2025-08-15,0.0200,0,-5
2417,2025-08-10,0.0056,0,5
1643,2025-08-03,0.0112,0,-8
2361,2025-08-03,0.0043,0,-3
786,2025-08-04,0.0067,0,-2
1834,2025-08-01,0.0060,0,18
1082,2025-08-07,0.0067,0,-4
1584,2025-08-03,0.0050,0,-5
4792,2025-08-01,0.0263,0,1
953,2025-08-04,0.0041,0,23
2251,2025-08-05,0.0079,0,7
881,2025-08-15,0.0031,0,2
4452,2025-08-06,0.0200,0,-3
468,2025-08-02,0.0168,0,1
1775,2025-08-05,0.0056,0,-4
2629,2025-08-13,0.0056,0,25
1779,2025-08-14,0.0056,0,15
1304,2025-08-02,0.0056,0,-2
3523,2025-08-11,0.0143,0,-8
2195,2025-08-01,0.0060,0,2
563,2025-08-15,0.0050,0,-7
5026,2025-08-08,0.0200,0,16
476,2025-08-14,0.0079,0,-3
5337,2025-08-08,0.0263,0,-3
1144,2025-08-11,0.0120,0,15
356,2025-08-15,0.0079,0,12
1398,2025-08-10,0.0120,0,21
2106,2025-08-10,0.0050,0,-1
1643,2025-08-07,0.0056,0,-3
2067,2025-08-15,0.0159,0,43
2075,2025-08-09,0.0060,0,2
1198,2025-08-01,0.0112,0,4
1198,2025-08-01,0.0112,0,4
1124,2025-08-02,0.0056,0,3
1655,2025-08-10,0.0067,0,17
5470,2025-08-01,0.0263,0,-3
310,2025-08-05,0.0079,0,-2
4766,2025-08-09,0.0200,0,7
1620,2025-08-09,0.0050,0,5
1857,2025-08-10,0.0181,0,0
2106,2025-08-10,0.0050,0,-1
288,2025-08-11,0.0057,0,-3
2254,2025-08-04,0.0050,0,-10
4559,2025-08-06,0.0200,0,-6
2290,2025-08-05,0.0079,0,-3
2483,2025-08-14,0.0168,0,7
2483,2025-08-14,0.0168,0,7
2483,2025-08-14,0.0168,0,7
4482,2025-08-11,0.0200,0,0
4482,2025-08-11,0.0200,0,12
4482,2025-08-11,0.0200,0,0
4482,2025-08-11,0.0200,0,12
980,2025-08-02,0.0041,0,58
2184,2025-08-15,0.0079,0,-5
2418,2025-08-14,0.0133,0,-6
2418,2025-08-14,0.0133,0,-6
468,2025-08-09,0.0056,0,0
2661,2025-08-07,0.0060,0,-5
714,2025-08-05,0.0079,0,-5
2658,2025-08-09,0.0067,0,6
312,2025-08-10,0.0056,0,62
1347,2025-08-13,0.0056,0,13
1347,2025-08-07,0.0056,0,18
1069,2025-08-14,0.0079,0,52
1905,2025-08-01,0.0067,0,-3
5646,2025-08-01,0.1000,0,1
5646,2025-08-01,0.1000,0,1
2278,2025-08-01,0.0150,0,15
2278,2025-08-01,0.0150,0,15
3716,2025-08-14,0.0132,0,3
4504,2025-08-07,0.0200,0,-11
4809,2025-08-14,0.0132,0,-3
467,2025-08-13,0.0079,0,-1
1205,2025-08-10,0.0056,0,-3
1923,2025-08-05,0.0159,0,-3
1740,2025-08-05,0.0056,0,-6
587,2025-08-01,0.0060,0,5
1659,2025-08-08,0.0168,0,-5
1387,2025-08-02,0.0082,0,3
2618,2025-08-01,0.0079,0,4
2137,2025-08-04,0.0181,0,-1
2137,2025-08-04,0.0181,0,-1
881,2025-08-10,0.0094,0,3
881,2025-08-10,0.0094,0,3
3551,2025-08-13,0.0132,0,57
2661,2025-08-07,0.0060,0,-5
1583,2025-08-01,0.0056,0,15
2635,2025-08-04,0.0079,0,43
2099,2025-08-05,0.0056,0,-4
2494,2025-08-12,0.0056,0,136
2389,2025-08-01,0.0056,0,65
1030,2025-08-01,0.0133,0,45
1363,2025-08-06,0.0100,0,40
1069,2025-08-13,0.0050,0,46
5383,2025-08-04,0.0200,0,14
5414,2025-08-03,0.0200,0,1
2666,2025-08-15,0.0050,0,-7
293,2025-08-07,0.0120,0,34
5392,2025-08-07,0.0132,0,9
5521,2025-08-02,0.0400,0,-3
2364,2025-08-13,0.0060,0,-5
2661,2025-08-04,0.0060,0,104
4568,2025-08-11,0.0200,0,-4
2232,2025-08-08,0.0060,0,-8
2481,2025-08-03,0.0067,0,4
2430,2025-08-05,0.0060,0,-4
1941,2025-08-06,0.0079,0,22
286,2025-08-10,0.0120,0,-1
2302,2025-08-07,0.0067,0,-9
1421,2025-08-07,0.0150,0,-6
1741,2025-08-09,0.0159,0,-7
2401,2025-08-09,0.0120,0,1
2481,2025-08-04,0.0067,0,-2
1815,2025-08-15,0.0067,0,96
664,2025-08-10,0.0060,0,8
422,2025-08-08,0.0031,4,57
1304,2025-08-05,0.0056,0,15
533,2025-08-03,0.0067,0,6
399,2025-08-12,0.0060,0,-8
2100,2025-08-04,0.0060,0,43
2635,2025-08-07,0.0159,0,47
1775,2025-08-11,0.0168,0,5
1775,2025-08-11,0.0168,0,5
2104,2025-08-11,0.0056,0,-7
1564,2025-08-10,0.0060,0,261
1834,2025-08-01,0.0120,0,18
310,2025-08-04,0.0079,0,4
2677,2025-08-15,0.0114,4,5
664,2025-08-04,0.0060,0,-1
3,2025-08-15,0.0060,0,4
1335,2025-08-04,0.0112,0,4
3598,2025-08-07,0.0132,0,19
980,2025-08-02,0.0123,0,58
1975,2025-08-11,0.0079,0,-2
2481,2025-08-15,0.0067,0,93
708,2025-08-12,0.0079,0,7
4600,2025-08-04,0.0200,0,-2
4458,2025-08-06,0.0400,7,-3
5737,2025-08-06,0.0658,0,74
5737,2025-08-06,0.0658,0,74
1785,2025-08-10,0.0168,0,14
1785,2025-08-10,0.0168,0,14
4792,2025-08-08,0.0132,0,-1
3464,2025-08-04,0.0132,0,3
2226,2025-08-13,0.0056,0,-3
5447,2025-08-11,0.0132,0,-5
5215,2025-08-10,0.0200,0,-4
1975,2025-08-10,0.0067,0,-4
1655,2025-08-02,0.0067,0,0
476,2025-08-11,0.0079,0,-3
1616,2025-08-04,0.0223,0,1
1583,2025-08-01,0.0056,0,15
1941,2025-08-09,0.0079,0,3
5125,2025-08-10,0.0400,0,22
980,2025-08-02,0.0041,0,58
2691,2025-08-01,0.0056,0,13
2189,2025-08-01,0.0060,0,-4
1491,2025-08-10,0.0159,0,48
