flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,norm_pressure,norm_load,norm_ssr,norm_bags,difficulty_score,difficulty_category
5229,2025-08-11,ORD,ILM,0.548,0.476,0.032,0.063,0.40,Difficult
972,2025-08-15,ORD,BRU,0.016,0.646,0.160,0.723,0.40,Difficult
953,2025-08-13,ORD,MUC,0.009,0.517,0.543,0.420,0.40,Difficult
972,2025-08-09,ORD,BRU,0.002,0.538,0.319,0.711,0.40,Difficult
907,2025-08-07,ORD,FRA,0.008,0.524,0.415,0.511,0.40,Difficult
972,2025-08-08,ORD,BRU,0.001,0.625,0.277,0.614,0.40,Difficult
695,2025-08-05,ORD,SJU,0.014,0.704,0.383,0.191,0.39,Difficult
3465,2025-08-03,ORD,GSP,0.014,0.598,0.574,0.066,0.39,Difficult
907,2025-08-10,ORD,FRA,0.020,0.490,0.340,0.534,0.39,Difficult
845,2025-08-07,ORD,GRU,0.008,0.591,0.777,0.803,0.39,Difficult
907,2025-08-01,ORD,FRA,0.012,0.651,0.191,0.580,0.39,Difficult
907,2025-08-12,ORD,FRA,0.006,0.430,0.457,0.497,0.39,Difficult
1583,2025-08-05,ORD,BWI,0.181,0.549,0.138,0.166,0.39,Difficult
580,2025-08-13,ORD,PDX,0.011,0.619,0.447,0.231,0.39,Difficult
1314,2025-08-05,ORD,IAH,0.333,0.580,0.319,0.211,0.39,Difficult
422,2025-08-12,ORD,ATH,0.010,0.536,0.404,0.457,0.39,Difficult
1710,2025-08-09,ORD,SMF,0.010,0.601,0.383,0.334,0.39,Difficult
1270,2025-08-09,ORD,PUJ,0.376,0.756,0.149,0.049,0.39,Difficult
1398,2025-08-03,ORD,ATL,0.206,0.562,0.053,0.126,0.39,Difficult
907,2025-08-08,ORD,FRA,0.020,0.643,0.223,0.491,0.39,Difficult
2172,2025-08-10,ORD,FAI,0.011,0.499,0.340,0.457,0.38,Difficult
118,2025-08-13,ORD,EDI,0.013,0.624,0.362,0.271,0.38,Difficult
422,2025-08-15,ORD,ATH,0.013,0.553,0.309,0.440,0.38,Difficult
1182,2025-08-09,ORD,SJC,0.089,0.730,0.170,0.123,0.38,Difficult
909,2025-08-06,ORD,AMS,0.009,0.566,0.340,0.394,0.38,Difficult
2172,2025-08-06,ORD,FAI,0.010,0.502,0.426,0.351,0.38,Difficult
580,2025-08-06,ORD,PDX,0.011,0.637,0.298,0.323,0.38,Difficult
1659,2025-08-09,ORD,CUN,0.376,0.798,0.043,0.060,0.38,Difficult
1660,2025-08-04,ORD,SFO,0.118,0.598,0.213,0.140,0.38,Difficult
845,2025-08-11,ORD,GRU,0.008,0.569,0.904,0.526,0.38,Difficult
2172,2025-08-07,ORD,FAI,0.011,0.598,0.298,0.397,0.38,Difficult
2481,2025-08-14,ORD,SYR,0.010,0.512,0.394,0.280,0.37,Difficult
1178,2025-08-09,ORD,ORF,0.011,0.621,0.213,0.363,0.37,Difficult
592,2025-08-09,ORD,JAC,0.003,0.655,0.287,0.231,0.37,Difficult
987,2025-08-09,ORD,CDG,0.013,0.545,0.457,0.163,0.37,Difficult
1583,2025-08-11,ORD,BWI,0.048,0.573,0.234,0.289,0.37,Difficult
2278,2025-08-06,ORD,SEA,0.012,0.578,0.362,0.263,0.37,Difficult
909,2025-08-15,ORD,AMS,0.002,0.609,0.213,0.440,0.37,Difficult
1616,2025-08-09,ORD,GRR,0.026,0.465,0.404,0.257,0.37,Difficult
2147,2025-08-07,ORD,ALB,0.139,0.538,0.085,0.174,0.37,Difficult
2179,2025-08-03,ORD,SFO,0.014,0.664,0.362,0.154,0.37,Difficult
1583,2025-08-14,ORD,BWI,0.009,0.594,0.298,0.286,0.37,Difficult
944,2025-08-14,ORD,FRA,0.002,0.617,0.777,0.563,0.37,Difficult
592,2025-08-14,ORD,JAC,0.173,0.465,0.106,0.143,0.37,Difficult
422,2025-08-03,ORD,ATH,0.013,0.557,0.319,0.377,0.37,Difficult
929,2025-08-02,ORD,LHR,0.008,0.640,0.298,0.251,0.37,Difficult
422,2025-08-02,ORD,ATH,0.013,0.550,0.287,0.409,0.37,Difficult
907,2025-08-14,ORD,FRA,0.002,0.543,0.298,0.471,0.37,Difficult
422,2025-08-10,ORD,ATH,0.013,0.505,0.330,0.366,0.37,Difficult
2677,2025-08-02,ORD,IAD,0.008,0.608,0.394,0.203,0.37,Difficult
580,2025-08-14,ORD,PDX,0.032,0.619,0.277,0.277,0.37,Difficult
1616,2025-08-02,ORD,GRR,0.007,0.672,0.277,0.237,0.37,Difficult
987,2025-08-08,ORD,CDG,0.006,0.687,0.319,0.189,0.37,Difficult
909,2025-08-01,ORD,AMS,0.000,0.580,0.255,0.437,0.37,Difficult
2424,2025-08-02,ORD,RDU,0.009,0.604,0.319,0.240,0.37,Difficult
1335,2025-08-10,ORD,BUF,0.013,0.594,0.340,0.269,0.37,Difficult
972,2025-08-10,ORD,BRU,0.006,0.528,0.181,0.583,0.37,Difficult
2172,2025-08-12,ORD,FAI,0.010,0.493,0.277,0.463,0.37,Difficult
4766,2025-08-06,ORD,OKC,0.011,0.632,0.351,0.163,0.37,Difficult
2278,2025-08-11,ORD,SEA,0.012,0.624,0.372,0.191,0.37,Difficult
1859,2025-08-06,ORD,SNA,0.173,0.594,0.000,0.086,0.37,Difficult
422,2025-08-05,ORD,ATH,0.008,0.553,0.298,0.391,0.37,Difficult
2039,2025-08-02,ORD,MCO,0.013,0.760,0.170,0.206,0.37,Difficult
288,2025-08-13,ORD,SNN,0.008,0.670,0.223,0.203,0.36,Difficult
2172,2025-08-11,ORD,FAI,0.011,0.555,0.170,0.431,0.36,Difficult
695,2025-08-01,ORD,SJU,0.010,0.680,0.223,0.166,0.36,Difficult
118,2025-08-10,ORD,EDI,0.013,0.574,0.245,0.331,0.36,Difficult
2154,2025-08-05,ORD,ROC,0.012,0.555,0.319,0.280,0.36,Difficult
2494,2025-08-11,ORD,MCI,0.009,0.619,0.181,0.317,0.36,Difficult
907,2025-08-04,ORD,FRA,0.006,0.487,0.245,0.437,0.36,Difficult
422,2025-08-08,ORD,ATH,0.013,0.572,0.128,0.454,0.36,Difficult
2278,2025-08-08,ORD,SEA,0.012,0.619,0.266,0.246,0.36,Difficult
2278,2025-08-10,ORD,SEA,0.012,0.572,0.340,0.174,0.36,Difficult
2172,2025-08-05,ORD,FAI,0.010,0.555,0.202,0.389,0.36,Difficult
2658,2025-08-05,ORD,SMF,0.007,0.581,0.277,0.286,0.36,Difficult
1124,2025-08-05,ORD,IAH,0.038,0.616,0.160,0.329,0.36,Difficult
845,2025-08-04,ORD,GRU,0.006,0.588,0.681,0.674,0.36,Difficult
2211,2025-08-13,ORD,SEA,0.010,0.562,0.202,0.389,0.36,Difficult
2039,2025-08-14,ORD,MCO,0.013,0.649,0.234,0.226,0.36,Difficult
907,2025-08-11,ORD,FRA,0.008,0.466,0.351,0.311,0.36,Difficult
2059,2025-08-09,ORD,PDX,0.015,0.585,0.234,0.280,0.36,Difficult
3598,2025-08-05,ORD,SDF,0.008,0.627,0.330,0.083,0.36,Difficult
2154,2025-08-01,ORD,ROC,0.012,0.582,0.245,0.297,0.36,Difficult
2155,2025-08-09,ORD,LAX,0.000,0.598,0.330,0.251,0.36,Difficult
953,2025-08-04,ORD,MUC,0.010,0.499,0.351,0.257,0.36,Difficult
2658,2025-08-06,ORD,SMF,0.007,0.574,0.330,0.214,0.36,Difficult
953,2025-08-08,ORD,MUC,0.009,0.582,0.255,0.280,0.36,Difficult
2148,2025-08-06,ORD,SAT,0.012,0.480,0.404,0.186,0.36,Difficult
845,2025-08-06,ORD,GRU,0.008,0.531,0.681,0.754,0.36,Difficult
349,2025-08-05,ORD,BTV,0.009,0.653,0.255,0.243,0.36,Difficult
2172,2025-08-13,ORD,FAI,0.010,0.466,0.383,0.300,0.36,Difficult
1178,2025-08-01,ORD,ORF,0.016,0.671,0.138,0.289,0.36,Difficult
909,2025-08-10,ORD,AMS,0.005,0.573,0.223,0.340,0.36,Difficult
2039,2025-08-15,ORD,MCO,0.014,0.744,0.117,0.209,0.36,Difficult
1124,2025-08-09,ORD,IAH,0.013,0.716,0.000,0.474,0.36,Difficult
909,2025-08-13,ORD,AMS,0.005,0.555,0.255,0.351,0.36,Difficult
2202,2025-08-02,ORD,IAH,0.009,0.698,0.106,0.340,0.36,Difficult
422,2025-08-09,ORD,ATH,0.008,0.574,0.213,0.374,0.36,Difficult
695,2025-08-04,ORD,SJU,0.014,0.655,0.245,0.200,0.36,Difficult
1178,2025-08-10,ORD,ORF,0.075,0.549,0.074,0.317,0.36,Difficult
2172,2025-08-08,ORD,FAI,0.011,0.516,0.191,0.474,0.36,Difficult
953,2025-08-09,ORD,MUC,0.009,0.602,0.191,0.386,0.36,Difficult
2278,2025-08-15,ORD,SEA,0.012,0.605,0.191,0.246,0.35,Difficult
881,2025-08-05,ORD,HND,0.002,0.583,0.638,0.657,0.35,Difficult
1905,2025-08-01,ORD,PIT,0.012,0.647,0.138,0.240,0.35,Difficult
2278,2025-08-01,ORD,SEA,0.012,0.684,0.170,0.186,0.35,Difficult
845,2025-08-14,ORD,GRU,0.006,0.456,0.723,0.723,0.35,Difficult
118,2025-08-03,ORD,EDI,0.013,0.559,0.202,0.329,0.35,Difficult
1156,2025-08-01,ORD,MSY,0.012,0.573,0.287,0.197,0.35,Difficult
909,2025-08-11,ORD,AMS,0.001,0.506,0.255,0.351,0.35,Difficult
118,2025-08-01,ORD,EDI,0.013,0.599,0.266,0.194,0.35,Difficult
288,2025-08-01,ORD,SNN,0.006,0.667,0.170,0.237,0.35,Difficult
1580,2025-08-09,ORD,YVR,0.016,0.647,0.223,0.129,0.35,Difficult
1974,2025-08-14,ORD,PWM,0.069,0.551,0.181,0.137,0.35,Difficult
953,2025-08-02,ORD,MUC,0.006,0.584,0.181,0.351,0.35,Difficult
2075,2025-08-09,ORD,TPA,0.013,0.588,0.160,0.297,0.35,Difficult
1335,2025-08-01,ORD,BUF,0.010,0.695,0.117,0.274,0.35,Difficult
5420,2025-08-15,ORD,MLI,0.007,0.708,0.851,0.106,0.35,Difficult
1347,2025-08-09,ORD,FLL,0.011,0.753,0.117,0.186,0.35,Difficult
288,2025-08-06,ORD,SNN,0.014,0.543,0.319,0.186,0.35,Difficult
2652,2025-08-02,ORD,RSW,0.002,0.660,0.181,0.183,0.35,Difficult
1710,2025-08-08,ORD,SMF,0.009,0.607,0.234,0.237,0.35,Difficult
944,2025-08-15,ORD,FRA,0.005,0.651,0.511,0.731,0.35,Difficult
2211,2025-08-02,ORD,SEA,0.017,0.674,0.128,0.251,0.35,Difficult
1124,2025-08-02,ORD,IAH,0.012,0.674,0.021,0.429,0.35,Difficult
580,2025-08-03,ORD,PDX,0.011,0.576,0.340,0.123,0.35,Difficult
2172,2025-08-04,ORD,FAI,0.011,0.552,0.181,0.317,0.35,Difficult
1983,2025-08-07,ORD,LAX,0.082,0.585,0.096,0.200,0.35,Difficult
580,2025-08-02,ORD,PDX,0.012,0.646,0.149,0.294,0.35,Difficult
2211,2025-08-15,ORD,SEA,0.008,0.591,0.181,0.289,0.35,Difficult
2494,2025-08-07,ORD,MCI,0.011,0.555,0.202,0.280,0.35,Difficult
5964,2025-08-13,ORD,CID,0.019,0.555,0.309,0.111,0.35,Difficult
1905,2025-08-14,ORD,PIT,0.011,0.585,0.287,0.177,0.35,Difficult
592,2025-08-02,ORD,JAC,0.011,0.785,0.064,0.143,0.35,Difficult
1583,2025-08-15,ORD,BWI,0.011,0.652,0.064,0.337,0.35,Difficult
5847,2025-08-15,ORD,DSM,0.012,0.562,0.340,0.146,0.35,Difficult
845,2025-08-08,ORD,GRU,0.007,0.557,0.564,0.763,0.35,Difficult
909,2025-08-07,ORD,AMS,0.009,0.548,0.191,0.311,0.35,Difficult
6002,2025-08-02,ORD,AVL,0.014,0.504,0.340,0.131,0.35,Difficult
2426,2025-08-02,ORD,IAH,0.014,0.668,0.128,0.231,0.35,Difficult
1801,2025-08-15,ORD,DEN,0.014,0.543,0.266,0.277,0.35,Difficult
2652,2025-08-01,ORD,RSW,0.013,0.680,0.181,0.180,0.35,Difficult
1801,2025-08-06,ORD,DEN,0.014,0.586,0.149,0.323,0.35,Difficult
909,2025-08-02,ORD,AMS,0.009,0.613,0.085,0.431,0.35,Difficult
739,2025-08-08,ORD,BZN,0.000,0.741,0.149,0.183,0.35,Difficult
1178,2025-08-06,ORD,ORF,0.007,0.625,0.245,0.200,0.35,Difficult
909,2025-08-09,ORD,AMS,0.005,0.497,0.213,0.366,0.35,Difficult
2278,2025-08-02,ORD,SEA,0.011,0.621,0.223,0.197,0.35,Difficult
695,2025-08-02,ORD,SJU,0.005,0.655,0.245,0.114,0.35,Difficult
2417,2025-08-13,ORD,SAN,0.007,0.582,0.255,0.189,0.35,Difficult
1761,2025-08-02,ORD,FAT,0.009,0.604,0.202,0.249,0.35,Difficult
1335,2025-08-07,ORD,BUF,0.012,0.558,0.234,0.226,0.35,Difficult
1655,2025-08-11,ORD,DCA,0.013,0.676,0.277,0.066,0.35,Difficult
2154,2025-08-03,ORD,ROC,0.010,0.518,0.266,0.286,0.35,Difficult
2147,2025-08-02,ORD,ALB,0.036,0.560,0.160,0.231,0.35,Difficult
1324,2025-08-01,ORD,SFO,0.012,0.608,0.213,0.220,0.35,Difficult
1269,2025-08-12,ORD,CLE,0.015,0.545,0.213,0.303,0.35,Difficult
1144,2025-08-01,ORD,ONT,0.011,0.552,0.255,0.200,0.35,Difficult
118,2025-08-06,ORD,EDI,0.013,0.633,0.149,0.300,0.35,Difficult
909,2025-08-09,ORD,AMS,0.007,0.497,0.213,0.366,0.35,Difficult
1776,2025-08-15,ORD,PHL,0.011,0.647,0.245,0.140,0.35,Difficult
1178,2025-08-02,ORD,ORF,0.008,0.670,0.128,0.289,0.35,Difficult
2417,2025-08-07,ORD,SAN,0.030,0.652,0.138,0.154,0.35,Difficult
1324,2025-08-09,ORD,SFO,0.012,0.580,0.191,0.291,0.35,Difficult
2075,2025-08-02,ORD,TPA,0.014,0.792,0.064,0.143,0.35,Difficult
909,2025-08-08,ORD,AMS,0.002,0.566,0.160,0.411,0.35,Difficult
1710,2025-08-01,ORD,SMF,0.009,0.660,0.128,0.320,0.35,Difficult
881,2025-08-09,ORD,HND,0.081,0.519,0.223,1.000,0.34,Difficult
1335,2025-08-06,ORD,BUF,0.013,0.558,0.213,0.231,0.34,Difficult
2658,2025-08-04,ORD,SMF,0.007,0.599,0.191,0.177,0.34,Difficult
1616,2025-08-15,ORD,GRR,0.014,0.547,0.223,0.197,0.34,Difficult
5314,2025-08-08,ORD,LNK,0.009,0.610,0.234,0.086,0.34,Difficult
2207,2025-08-14,ORD,OMA,0.011,0.530,0.245,0.229,0.34,Difficult
2426,2025-08-10,ORD,IAH,0.013,0.540,0.277,0.100,0.34,Difficult
1776,2025-08-02,ORD,PHL,0.011,0.552,0.096,0.351,0.34,Difficult
481,2025-08-09,ORD,RNO,0.017,0.707,0.053,0.209,0.34,Difficult
3699,2025-08-02,ORD,PIT,0.016,0.677,0.149,0.129,0.34,Difficult
118,2025-08-07,ORD,EDI,0.013,0.546,0.170,0.234,0.34,Difficult
3604,2025-08-09,ORD,CMH,0.015,0.620,0.149,0.149,0.34,Difficult
2039,2025-08-05,ORD,MCO,0.013,0.692,0.128,0.157,0.34,Difficult
1660,2025-08-13,ORD,SFO,0.010,0.573,0.213,0.191,0.34,Difficult
2658,2025-08-02,ORD,SMF,0.007,0.621,0.149,0.266,0.34,Difficult
5045,2025-08-02,ORD,RHI,0.015,0.785,0.032,0.074,0.34,Difficult
987,2025-08-03,ORD,CDG,0.009,0.540,0.255,0.151,0.34,Difficult
739,2025-08-02,ORD,BZN,0.009,0.698,0.043,0.243,0.34,Difficult
929,2025-08-15,ORD,LHR,0.012,0.607,0.160,0.194,0.34,Difficult
1660,2025-08-01,ORD,SFO,0.010,0.666,0.128,0.211,0.34,Difficult
1801,2025-08-12,ORD,DEN,0.012,0.559,0.128,0.286,0.34,Difficult
580,2025-08-08,ORD,PDX,0.012,0.668,0.085,0.197,0.34,Difficult
1761,2025-08-07,ORD,FAT,0.005,0.642,0.213,0.137,0.34,Difficult
987,2025-08-01,ORD,CDG,0.010,0.711,0.138,0.114,0.34,Difficult
1583,2025-08-07,ORD,BWI,0.014,0.552,0.181,0.263,0.34,Difficult
422,2025-08-06,ORD,ATH,0.010,0.559,0.053,0.417,0.34,Difficult
1742,2025-08-02,ORD,JAX,0.010,0.709,0.011,0.311,0.34,Difficult
909,2025-08-03,ORD,AMS,0.005,0.405,0.351,0.286,0.34,Difficult
1785,2025-08-13,ORD,EWR,0.018,0.561,0.287,0.089,0.34,Difficult
1967,2025-08-12,ORD,LAX,0.013,0.537,0.245,0.171,0.34,Difficult
5251,2025-08-02,ORD,ASE,0.001,0.754,0.106,0.120,0.34,Difficult
2677,2025-08-15,ORD,IAD,0.020,0.599,0.202,0.151,0.34,Difficult
2481,2025-08-05,ORD,SYR,0.010,0.450,0.351,0.171,0.34,Difficult
5290,2025-08-09,ORD,BOI,0.004,0.715,0.106,0.103,0.34,Difficult
1660,2025-08-11,ORD,SFO,0.009,0.594,0.223,0.117,0.34,Difficult
580,2025-08-09,ORD,PDX,0.012,0.671,0.032,0.320,0.34,Difficult
118,2025-08-04,ORD,EDI,0.013,0.494,0.234,0.297,0.34,Difficult
4636,2025-08-02,ORD,SBN,0.010,0.610,0.255,0.057,0.34,Difficult
2154,2025-08-07,ORD,ROC,0.010,0.500,0.234,0.240,0.34,Difficult
2424,2025-08-05,ORD,RDU,0.011,0.567,0.191,0.237,0.34,Difficult
953,2025-08-07,ORD,MUC,0.009,0.515,0.266,0.169,0.34,Difficult
1178,2025-08-08,ORD,ORF,0.008,0.651,0.138,0.177,0.34,Difficult
1776,2025-08-09,ORD,PHL,0.011,0.578,0.149,0.314,0.34,Difficult
987,2025-08-02,ORD,CDG,0.013,0.613,0.106,0.220,0.34,Difficult
987,2025-08-15,ORD,CDG,0.007,0.571,0.170,0.246,0.34,Difficult
695,2025-08-13,ORD,SJU,0.013,0.582,0.138,0.254,0.34,Difficult
953,2025-08-05,ORD,MUC,0.001,0.470,0.255,0.266,0.34,Difficult
1616,2025-08-10,ORD,GRR,0.012,0.421,0.330,0.234,0.34,Difficult
2154,2025-08-09,ORD,ROC,0.016,0.549,0.064,0.383,0.34,Difficult
1616,2025-08-14,ORD,GRR,0.007,0.629,0.106,0.280,0.34,Difficult
2658,2025-08-13,ORD,SMF,0.011,0.545,0.191,0.223,0.34,Difficult
1144,2025-08-11,ORD,ONT,0.009,0.591,0.266,0.094,0.34,Difficult
1583,2025-08-13,ORD,BWI,0.011,0.570,0.128,0.334,0.34,Difficult
5833,2025-08-02,ORD,DTW,0.009,0.649,0.117,0.231,0.34,Difficult
3433,2025-08-09,ORD,CVG,0.009,0.684,0.096,0.151,0.34,Difficult
3604,2025-08-01,ORD,CMH,0.013,0.627,0.255,0.063,0.34,Difficult
2211,2025-08-05,ORD,SEA,0.013,0.650,0.096,0.189,0.34,Difficult
1660,2025-08-08,ORD,SFO,0.010,0.708,0.106,0.134,0.34,Difficult
1710,2025-08-07,ORD,SMF,0.012,0.549,0.202,0.197,0.34,Difficult
5652,2025-08-05,ORD,GEG,0.004,0.613,0.266,0.086,0.34,Difficult
1124,2025-08-01,ORD,IAH,0.001,0.625,0.117,0.320,0.34,Difficult
881,2025-08-03,ORD,HND,0.007,0.601,0.521,0.660,0.34,Difficult
1006,2025-08-02,ORD,LGA,0.013,0.621,0.191,0.091,0.34,Difficult
1156,2025-08-08,ORD,MSY,0.015,0.622,0.106,0.203,0.34,Difficult
2677,2025-08-05,ORD,IAD,0.008,0.599,0.191,0.137,0.34,Difficult
288,2025-08-08,ORD,SNN,0.008,0.577,0.181,0.231,0.34,Difficult
2202,2025-08-12,ORD,IAH,0.100,0.576,0.043,0.097,0.34,Difficult
2658,2025-08-09,ORD,SMF,0.007,0.574,0.138,0.311,0.34,Difficult
987,2025-08-13,ORD,CDG,0.009,0.622,0.160,0.231,0.34,Difficult
2658,2025-08-01,ORD,SMF,0.007,0.614,0.191,0.206,0.34,Difficult
1967,2025-08-02,ORD,LAX,0.012,0.658,0.170,0.154,0.34,Difficult
2207,2025-08-07,ORD,OMA,0.013,0.568,0.191,0.226,0.34,Difficult
777,2025-08-01,ORD,LAS,0.011,0.616,0.181,0.151,0.34,Difficult
592,2025-08-08,ORD,JAC,0.011,0.720,0.085,0.163,0.34,Difficult
349,2025-08-13,ORD,BTV,0.003,0.591,0.128,0.286,0.34,Difficult
1974,2025-08-02,ORD,PWM,0.007,0.720,0.096,0.126,0.34,Difficult
2426,2025-08-06,ORD,IAH,0.011,0.598,0.149,0.186,0.34,Difficult
5352,2025-08-05,ORD,CAK,0.000,0.730,0.128,0.066,0.34,Difficult
580,2025-08-05,ORD,PDX,0.012,0.652,0.085,0.240,0.34,Difficult
1269,2025-08-01,ORD,CLE,0.009,0.651,0.170,0.149,0.34,Difficult
617,2025-08-07,ORD,CLT,0.010,0.640,0.202,0.100,0.34,Difficult
2172,2025-08-14,ORD,FAI,0.011,0.535,0.117,0.411,0.34,Difficult
987,2025-08-14,ORD,CDG,0.025,0.526,0.149,0.277,0.34,Difficult
1801,2025-08-08,ORD,DEN,0.012,0.554,0.202,0.246,0.34,Difficult
695,2025-08-09,ORD,SJU,0.015,0.616,0.138,0.209,0.34,Difficult
118,2025-08-02,ORD,EDI,0.013,0.577,0.170,0.200,0.34,Difficult
1742,2025-08-07,ORD,JAX,0.008,0.653,0.117,0.229,0.34,Difficult
1761,2025-08-03,ORD,FAT,0.001,0.617,0.191,0.174,0.34,Difficult
2039,2025-08-07,ORD,MCO,0.001,0.717,0.043,0.206,0.34,Difficult
1144,2025-08-03,ORD,ONT,0.009,0.568,0.298,0.106,0.34,Difficult
1983,2025-08-05,ORD,LAX,0.069,0.561,0.128,0.063,0.34,Difficult
1616,2025-08-11,ORD,GRR,0.013,0.616,0.053,0.309,0.34,Difficult
2154,2025-08-02,ORD,ROC,0.016,0.622,0.043,0.300,0.34,Difficult
2677,2025-08-12,ORD,IAD,0.008,0.515,0.340,0.126,0.34,Difficult
4792,2025-08-02,ORD,ROA,0.011,0.591,0.266,0.089,0.34,Difficult
4416,2025-08-15,ORD,STL,0.008,0.621,0.234,0.083,0.34,Difficult
953,2025-08-01,ORD,MUC,0.001,0.615,0.149,0.263,0.34,Difficult
481,2025-08-02,ORD,RNO,0.012,0.659,0.149,0.186,0.34,Difficult
2394,2025-08-08,ORD,DEN,0.012,0.647,0.170,0.109,0.34,Difficult
534,2025-08-02,ORD,EWR,0.013,0.594,0.255,0.114,0.34,Difficult
2059,2025-08-02,ORD,PDX,0.012,0.601,0.106,0.274,0.34,Difficult
793,2025-08-08,ORD,DFW,0.011,0.664,0.117,0.154,0.34,Difficult
374,2025-08-01,ORD,MSP,0.009,0.534,0.213,0.240,0.34,Difficult
2278,2025-08-13,ORD,SEA,0.012,0.572,0.181,0.226,0.34,Difficult
2243,2025-08-13,ORD,RIC,0.009,0.596,0.181,0.240,0.34,Difficult
777,2025-08-05,ORD,LAS,0.010,0.570,0.234,0.177,0.34,Difficult
2481,2025-08-02,ORD,SYR,0.008,0.687,0.053,0.234,0.34,Difficult
2211,2025-08-11,ORD,SEA,0.010,0.539,0.160,0.317,0.34,Difficult
1156,2025-08-06,ORD,MSY,0.015,0.655,0.096,0.217,0.34,Difficult
1655,2025-08-09,ORD,DCA,0.011,0.549,0.255,0.137,0.34,Difficult
118,2025-08-15,ORD,EDI,0.007,0.484,0.202,0.326,0.34,Difficult
1335,2025-08-14,ORD,BUF,0.010,0.561,0.149,0.274,0.34,Difficult
5915,2025-08-12,ORD,LNK,0.010,0.523,0.266,0.117,0.33,Difficult
1156,2025-08-03,ORD,MSY,0.005,0.631,0.064,0.200,0.33,Difficult
1006,2025-08-09,ORD,LGA,0.015,0.657,0.138,0.083,0.33,Difficult
1983,2025-08-10,ORD,LAX,0.013,0.573,0.117,0.169,0.33,Difficult
2179,2025-08-13,ORD,SFO,0.014,0.540,0.202,0.134,0.33,Difficult
2394,2025-08-11,ORD,DEN,0.011,0.596,0.128,0.166,0.33,Difficult
5251,2025-08-09,ORD,ASE,0.004,0.761,0.043,0.060,0.33,Difficult
1398,2025-08-01,ORD,ATL,0.012,0.594,0.128,0.194,0.33,Difficult
