flight_number,scheduled_departure_date_local,is_delayed,delay_minutes,day_of_week,departure_hour,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_ground_time_minutes,minimum_turn_minutes,is_tight_turnaround,total_pax,total_seats,load_factor,lap_child_count,transfer_bag_count,checked_bag_count,special_service_request_count
1848,2025-08-06,0,-7,4,10,ORD,ATL,66,43,0,1,126,0.0079,0,16,0,2
1205,2025-08-09,1,31,7,12,ORD,EWR,67,56,0,1,179,0.0056,0,23,0,0
1980,2025-08-01,0,0,6,6,ORD,LGA,471,51,0,4,166,0.0241,0,16,0,10
1980,2025-08-01,0,0,6,6,ORD,LGA,471,51,0,4,166,0.0241,0,16,0,10
739,2025-08-05,1,16,3,19,ORD,BZN,64,46,0,2,150,0.0133,0,56,0,3
2059,2025-08-14,0,0,5,19,ORD,PDX,73,56,0,1,179,0.0056,0,63,0,9
1252,2025-08-02,1,4,7,7,ORD,DCA,637,43,0,1,126,0.0079,0,26,0,2
793,2025-08-14,1,6,5,16,ORD,DFW,64,43,0,1,126,0.0079,0,36,0,4
534,2025-08-01,1,10,6,17,ORD,EWR,76,62,0,1,200,0.0050,0,27,0,2
1304,2025-08-07,1,2,5,11,ORD,LAS,68,56,0,4,179,0.0223,0,55,0,7
2361,2025-08-03,0,-3,1,7,ORD,LAX,765,66,0,2,234,0.0085,0,1,0,5
1775,2025-08-04,0,0,2,17,ORD,FLL,20,56,1,1,179,0.0056,0,17,0,13
1775,2025-08-04,0,-1,2,10,ORD,FLL,743,56,0,1,179,0.0056,0,17,0,13
3571,2025-08-08,0,-4,6,13,ORD,IND,60,34,0,4,70,0.0571,0,35,0,4
3571,2025-08-08,0,-4,6,13,ORD,IND,60,34,0,4,70,0.0571,0,35,0,4
1899,2025-08-02,1,6,7,20,ORD,YYC,106,52,0,1,126,0.0079,0,46,0,6
1801,2025-08-01,1,101,6,16,ORD,DEN,88,66,0,2,234,0.0085,0,102,0,7
1801,2025-08-01,1,101,6,16,ORD,DEN,88,66,0,2,234,0.0085,0,102,0,7
5603,2025-08-01,1,78,6,20,ORD,FNT,86,29,0,1,50,0.0200,0,39,0,25
2106,2025-08-10,0,-1,1,21,ORD,SFO,75,62,0,3,200,0.0150,0,40,0,5
2106,2025-08-10,0,-1,1,21,ORD,SFO,75,62,0,3,200,0.0150,0,40,0,5
476,2025-08-01,0,0,6,10,ORD,CVG,64,43,0,1,126,0.0079,0,26,0,2
1301,2025-08-02,1,27,7,20,ORD,ICT,100,43,0,1,126,0.0079,0,110,0,3
2040,2025-08-06,1,108,4,20,ORD,DEN,77,56,0,1,179,0.0056,0,54,0,2
2385,2025-08-03,0,-4,1,8,ORD,MSO,81,51,0,1,166,0.0060,0,47,0,4
2652,2025-08-04,1,113,2,16,ORD,RSW,-26,51,1,1,166,0.0060,0,66,0,33
2040,2025-08-12,1,92,3,20,ORD,DEN,100,56,0,1,179,0.0056,0,52,0,9
4571,2025-08-05,0,0,3,20,ORD,XNA,80,29,0,1,50,0.0200,0,22,0,3
4645,2025-08-05,0,-12,3,11,ORD,FWA,190,29,0,1,50,0.0200,0,23,0,7
490,2025-08-07,0,-6,5,8,ORD,SAT,68,43,0,1,126,0.0079,0,25,0,24
721,2025-08-04,0,-6,2,9,ORD,BOS,80,56,0,1,179,0.0056,0,7,0,2
2616,2025-08-05,1,16,3,12,ORD,PDX,15,51,1,1,166,0.0060,0,33,0,23
2038,2025-08-15,1,36,6,7,ORD,BUF,-17,43,1,1,126,0.0079,0,17,0,9
2148,2025-08-08,0,0,6,19,ORD,SAT,60,46,0,1,150,0.0067,0,89,0,8
2394,2025-08-15,1,9,6,18,ORD,DEN,93,66,0,1,234,0.0043,0,42,0,0
1304,2025-08-02,0,-2,7,11,ORD,LAS,68,56,0,4,179,0.0223,0,43,0,11
5557,2025-08-01,0,-8,6,9,ORD,OKC,78,34,0,1,76,0.0132,0,45,0,4
4501,2025-08-06,0,-6,4,13,ORD,AVP,58,29,0,1,50,0.0200,0,15,0,12
1358,2025-08-02,0,-7,7,7,ORD,RDU,497,43,0,1,126,0.0079,0,20,0,8
5557,2025-08-12,1,16,3,9,ORD,OKC,73,34,0,3,76,0.0395,1,27,0,4
5557,2025-08-12,1,16,3,9,ORD,OKC,73,34,0,3,76,0.0395,0,27,0,4
5557,2025-08-12,1,16,3,9,ORD,OKC,73,34,0,3,76,0.0395,0,27,0,4
1946,2025-08-08,0,-9,6,15,ORD,LGA,105,51,0,1,166,0.0060,0,13,0,10
2658,2025-08-01,0,0,6,16,ORD,SMF,104,46,0,2,150,0.0133,0,72,0,18
786,2025-08-02,1,9,7,11,ORD,BTV,112,46,0,3,150,0.0200,0,53,0,2
5229,2025-08-07,0,-3,5,11,ORD,ILM,47,34,0,2,76,0.0263,0,16,0,0
5577,2025-08-01,0,-4,6,7,ORD,JAX,635,34,0,2,76,0.0263,0,9,0,4
5577,2025-08-01,0,-4,6,7,ORD,JAX,635,34,0,2,76,0.0263,0,9,0,4
1304,2025-08-06,0,-4,4,11,ORD,LAS,68,56,0,1,179,0.0056,0,60,0,8
1967,2025-08-08,1,1,6,18,ORD,LAX,82,56,0,1,179,0.0056,0,32,0,10
2137,2025-08-07,0,-1,5,9,ORD,SLC,957,51,0,1,166,0.0060,0,40,0,3
1421,2025-08-08,0,-7,6,7,ORD,FLL,501,62,0,1,200,0.0050,0,26,0,12
2661,2025-08-07,0,-5,5,10,ORD,LGA,151,51,0,1,166,0.0060,0,2,0,18
2137,2025-08-13,1,16,4,9,ORD,SLC,68,51,0,1,166,0.0060,0,32,0,12
2004,2025-08-11,1,8,2,13,ORD,SYR,84,46,0,1,150,0.0067,0,64,0,16
2649,2025-08-04,0,-4,2,14,ORD,EWR,162,64,0,1,176,0.0057,0,28,0,2
907,2025-08-14,1,145,5,18,ORD,FRA,726,100,0,1,318,0.0031,0,165,0,28
1361,2025-08-09,1,6,7,21,ORD,STL,179,43,0,2,126,0.0159,0,114,0,21
1252,2025-08-03,0,-3,1,7,ORD,DCA,643,43,0,2,126,0.0159,0,34,0,2
1584,2025-08-10,0,-7,1,10,ORD,LAX,635,62,0,1,200,0.0050,0,28,0,6
1941,2025-08-05,0,-8,3,14,ORD,CVG,71,43,0,1,126,0.0079,0,41,0,12
953,2025-08-14,1,2,5,18,ORD,MUC,255,150,0,1,243,0.0041,0,62,0,14
881,2025-08-09,0,0,7,16,ORD,HND,20,100,1,1,318,0.0031,0,350,0,21
767,2025-08-03,1,17,1,21,ORD,DEN,77,70,0,2,200,0.0100,0,64,0,1
5103,2025-08-05,1,14,3,21,ORD,JLN,4600,29,0,2,50,0.0400,0,32,0,17
2683,2025-08-01,0,-3,6,14,ORD,SAN,63,51,0,1,166,0.0060,0,32,0,0
4792,2025-08-04,1,7,2,17,ORD,ROA,42,34,0,2,76,0.0263,0,20,0,14
2004,2025-08-11,1,8,2,13,ORD,SYR,84,46,0,1,150,0.0067,0,64,0,16
1909,2025-08-10,1,96,1,10,ORD,TVC,-68,56,1,1,179,0.0056,0,37,0,7
2426,2025-08-04,1,123,2,19,ORD,IAH,-5,119,1,1,179,0.0056,0,21,0,17
5380,2025-08-08,0,-4,6,7,ORD,MSY,662,34,0,1,76,0.0132,0,29,0,2
1525,2025-08-10,0,0,1,13,ORD,AUS,70,43,0,1,126,0.0079,0,41,0,0
378,2025-08-07,0,-4,5,13,ORD,LAX,61,56,0,2,179,0.0112,0,45,0,16
2195,2025-08-15,1,1,6,11,ORD,BDL,87,51,0,1,166,0.0060,0,47,0,15
5395,2025-08-06,1,12,4,13,ORD,GSO,58,34,0,1,70,0.0143,0,15,0,3
411,2025-08-04,1,12,2,10,ORD,DTW,77,43,0,4,126,0.0317,0,86,0,0
411,2025-08-04,1,12,2,10,ORD,DTW,77,43,0,4,126,0.0317,0,86,0,0
411,2025-08-04,1,12,2,10,ORD,DTW,77,43,0,4,126,0.0317,0,86,0,0
1599,2025-08-07,1,45,5,8,ORD,DEN,186,93,0,2,364,0.0055,0,48,0,20
4173,2025-08-04,0,-5,2,13,ORD,AVL,40,29,0,1,50,0.0200,0,9,0,9
1742,2025-08-14,0,-4,5,18,ORD,JAX,90,51,0,2,166,0.0120,0,57,0,4
1576,2025-08-03,1,3,1,20,ORD,LGA,63,60,0,1,166,0.0060,0,7,0,3
3536,2025-08-08,0,-1,6,7,ORD,YUL,55,42,0,1,76,0.0132,0,30,0,0
4389,2025-08-12,1,97,3,12,ORD,CID,79,29,0,1,50,0.0200,0,27,0,0
2494,2025-08-15,1,10,6,19,ORD,MCI,73,56,0,1,179,0.0056,0,90,0,7
5526,2025-08-14,1,57,5,18,ORD,ATW,-30,29,1,1,50,0.0200,0,23,0,12
2323,2025-08-06,0,-7,4,9,ORD,MCO,770,62,0,1,200,0.0050,0,42,0,5
1491,2025-08-10,1,48,1,10,ORD,DFW,65,43,0,1,126,0.0079,0,35,0,5
1708,2025-08-07,1,3,5,19,ORD,CLE,78,43,0,1,126,0.0079,0,32,0,0
476,2025-08-12,0,-5,3,10,ORD,CVG,75,43,0,1,126,0.0079,0,28,0,0
5610,2025-08-11,1,174,2,18,ORD,CHO,-131,29,1,1,50,0.0200,0,28,0,2
2387,2025-08-14,0,-7,5,6,ORD,MCO,390,56,0,1,179,0.0056,0,18,0,4
4479,2025-08-02,0,-8,7,11,ORD,STL,40,29,0,1,50,0.0200,0,21,0,17
503,2025-08-05,0,-2,3,14,ORD,DEN,294,66,0,2,234,0.0085,0,85,0,23
1269,2025-08-01,1,2,6,18,ORD,CLE,74,43,0,2,126,0.0159,0,52,0,16
1421,2025-08-08,0,-7,6,7,ORD,FLL,501,62,0,1,200,0.0050,0,26,0,12
609,2025-08-06,0,-5,4,13,ORD,PHX,68,56,0,2,179,0.0112,0,46,0,13
2067,2025-08-03,0,-8,1,7,ORD,BOS,477,43,0,1,126,0.0079,0,7,0,3
5699,2025-08-06,0,-6,4,18,ORD,SAV,79,34,0,2,76,0.0263,0,23,0,0
1941,2025-08-05,0,-8,3,14,ORD,CVG,71,43,0,1,126,0.0079,0,41,0,12
2497,2025-08-05,0,-1,3,19,ORD,DTW,80,51,0,1,126,0.0079,0,32,0,10
845,2025-08-10,1,90,1,21,ORD,GRU,555,155,0,1,318,0.0031,0,207,0,30
2182,2025-08-06,0,-6,4,11,ORD,PHL,160,46,0,1,150,0.0067,0,39,0,7
416,2025-08-03,1,34,1,21,ORD,MXP,1645,150,0,1,243,0.0041,0,105,0,19
4461,2025-08-08,0,-14,6,13,ORD,ABE,115,33,0,1,50,0.0200,0,13,0,9
374,2025-08-07,1,21,5,16,ORD,MSP,54,43,0,1,126,0.0079,0,45,0,13
5577,2025-08-01,0,-4,6,7,ORD,JAX,635,34,0,1,76,0.0132,0,9,0,4
5290,2025-08-07,1,49,5,19,ORD,BOI,50,34,0,1,70,0.0143,0,20,0,5
2211,2025-08-07,1,12,5,19,ORD,SEA,79,51,0,1,166,0.0060,0,70,0,9
422,2025-08-14,1,3,5,16,ORD,ATH,185,155,0,1,318,0.0031,0,191,0,41
4563,2025-08-05,0,-10,3,12,ORD,FSD,63,29,0,1,50,0.0200,0,24,0,0
1403,2025-08-13,1,42,4,19,ORD,SLC,65,43,0,1,126,0.0079,0,42,0,11
2137,2025-08-13,1,16,4,9,ORD,SLC,68,51,0,1,166,0.0060,0,32,0,12
1082,2025-08-14,1,8,5,14,ORD,PIT,66,46,0,2,150,0.0133,0,63,0,18
1082,2025-08-14,1,8,5,14,ORD,PIT,66,46,0,2,150,0.0133,0,63,0,18
1899,2025-08-06,1,80,4,20,ORD,YYC,102,52,0,1,126,0.0079,0,23,0,0
343,2025-08-10,1,5,1,10,ORD,SFO,133,46,0,2,150,0.0133,0,14,0,5
2071,2025-08-15,1,1,6,7,ORD,SAN,71,62,0,4,179,0.0223,0,5,0,2
2071,2025-08-15,1,1,6,7,ORD,SAN,71,62,0,4,179,0.0223,0,5,0,2
1301,2025-08-02,1,27,7,20,ORD,ICT,100,43,0,1,126,0.0079,0,110,0,3
2343,2025-08-01,1,9,6,14,ORD,IND,87,56,0,1,179,0.0056,0,79,0,4
5819,2025-08-01,0,-7,6,9,ORD,DLH,55,29,0,1,50,0.0200,0,20,0,14
3628,2025-08-08,0,-1,6,17,ORD,IND,59,34,0,1,76,0.0132,0,42,0,7
2177,2025-08-01,1,4,6,14,ORD,MSN,63,43,0,1,126,0.0079,0,57,0,8
343,2025-08-02,0,-1,7,10,ORD,SFO,1079,62,0,1,200,0.0050,0,34,0,4
4712,2025-08-10,1,28,1,19,ORD,ELP,55,34,0,1,70,0.0143,0,26,0,5
4452,2025-08-14,1,254,5,10,ORD,RIC,1080,29,0,1,50,0.0200,0,2,0,0
5795,2025-08-11,0,-1,2,9,ORD,TUL,55,34,0,1,76,0.0132,0,37,0,1
909,2025-08-12,1,30,3,18,ORD,AMS,280,95,0,4,243,0.0165,0,92,0,23
3663,2025-08-10,1,1,1,18,ORD,BGR,74,34,0,1,76,0.0132,0,27,0,4
2059,2025-08-06,1,133,4,19,ORD,PDX,85,56,0,2,179,0.0112,0,61,0,13
1996,2025-08-11,0,-3,2,8,ORD,SJU,180,68,0,1,200,0.0050,0,54,0,9
1643,2025-08-06,0,-9,4,7,ORD,SEA,760,56,0,1,179,0.0056,0,6,0,10
399,2025-08-13,0,-3,4,11,ORD,BOS,91,51,0,1,166,0.0060,0,32,0,1
310,2025-08-10,1,88,1,15,ORD,MCI,72,43,0,1,126,0.0079,0,50,0,17
2629,2025-08-07,0,-1,5,10,ORD,CLE,77,56,0,1,179,0.0056,0,53,0,12
1989,2025-08-01,1,1,6,18,ORD,BOS,70,56,0,2,179,0.0112,0,34,0,12
2137,2025-08-13,1,16,4,9,ORD,SLC,68,51,0,1,166,0.0060,0,32,0,12
1209,2025-08-07,1,54,5,21,ORD,EWR,184,56,0,1,179,0.0056,0,38,0,2
791,2025-08-12,1,11,3,7,ORD,DEN,105,68,0,1,200,0.0050,0,10,0,0
1205,2025-08-09,1,31,7,12,ORD,EWR,67,56,0,1,179,0.0056,0,23,0,0
2649,2025-08-04,0,-4,2,14,ORD,EWR,162,64,0,1,176,0.0057,0,28,0,2
1068,2025-08-08,0,-3,6,8,ORD,IAD,1142,122,0,1,176,0.0057,0,57,0,9
2629,2025-08-01,0,-2,6,10,ORD,CLE,63,56,0,1,179,0.0056,0,51,0,2
1538,2025-08-04,0,-9,2,11,ORD,SAV,103,56,0,1,179,0.0056,0,24,0,7
2385,2025-08-06,0,-2,4,8,ORD,MSO,141,51,0,4,166,0.0241,0,56,0,6
2385,2025-08-06,0,-2,4,8,ORD,MSO,141,51,0,4,166,0.0241,0,56,0,6
617,2025-08-07,1,55,5,18,ORD,CLT,85,51,0,1,166,0.0060,0,35,0,19
1659,2025-08-08,0,-5,6,10,ORD,CUN,80,70,0,4,179,0.0223,0,6,0,17
1659,2025-08-08,0,-5,6,10,ORD,CUN,80,70,0,4,179,0.0223,0,6,0,17
617,2025-08-07,1,55,5,18,ORD,CLT,85,51,0,1,166,0.0060,0,35,0,19
1224,2025-08-08,0,-5,6,6,ORD,LAX,585,56,0,2,179,0.0112,0,11,0,0
669,2025-08-10,0,-7,1,7,ORD,AUS,63,51,0,1,166,0.0060,0,16,0,7
1377,2025-08-13,1,67,4,11,ORD,MYR,940,119,0,2,179,0.0112,0,49,0,4
1811,2025-08-02,1,5,7,12,ORD,MSP,81,60,0,1,166,0.0060,0,140,0,32
1946,2025-08-04,0,-7,2,15,ORD,LGA,67,51,0,1,166,0.0060,0,5,0,0
611,2025-08-01,1,29,6,7,ORD,SFO,381,66,0,1,234,0.0043,0,8,0,12
276,2025-08-08,0,-4,6,21,ORD,IAD,72,62,0,1,200,0.0050,0,47,0,0
4645,2025-08-11,0,-2,2,11,ORD,FWA,104,29,0,1,50,0.0200,0,19,0,4
2628,2025-08-12,1,119,3,21,ORD,BNA,67,56,0,2,179,0.0112,0,38,0,1
2465,2025-08-05,1,69,3,11,ORD,ORF,-47,56,1,5,179,0.0279,0,60,0,9
2465,2025-08-05,1,69,3,11,ORD,ORF,-47,56,1,5,179,0.0279,0,60,0,9
5094,2025-08-08,0,-10,6,10,ORD,RHI,173,29,0,1,50,0.0200,0,18,0,0
349,2025-08-13,1,13,4,18,ORD,BTV,284,51,0,1,166,0.0060,0,100,0,12
5125,2025-08-03,0,-3,1,11,ORD,CMX,43,29,0,1,50,0.0200,0,24,0,15
2179,2025-08-12,1,41,3,18,ORD,SFO,78,66,0,1,234,0.0043,0,50,0,7
2226,2025-08-04,0,-1,2,14,ORD,CLE,93,56,0,2,179,0.0112,0,58,0,6
1761,2025-08-04,1,38,2,19,ORD,FAT,67,43,0,2,126,0.0159,0,41,0,19
1599,2025-08-05,0,-2,3,8,ORD,DEN,186,93,0,1,364,0.0027,0,34,0,35
938,2025-08-05,1,7,3,21,ORD,LHR,245,145,0,1,167,0.0060,0,52,0,28
2389,2025-08-06,0,0,4,10,ORD,RSW,73,56,0,1,179,0.0056,0,23,0,13
561,2025-08-04,0,-4,2,12,ORD,MCI,67,56,0,2,179,0.0112,0,31,0,7
970,2025-08-13,1,1,4,15,ORD,FCO,1495,155,0,2,318,0.0063,0,51,0,10
3433,2025-08-07,1,10,5,16,ORD,CVG,45,39,0,1,76,0.0132,0,37,0,2
1403,2025-08-10,1,16,1,19,ORD,SLC,65,46,0,1,150,0.0067,0,35,0,3
5763,2025-08-04,0,-3,2,12,ORD,TUL,47,34,0,1,76,0.0132,0,19,0,14
845,2025-08-05,1,2,3,21,ORD,GRU,385,155,0,1,318,0.0031,0,270,0,43
4476,2025-08-05,0,-3,3,13,ORD,CAE,49,29,0,1,50,0.0200,0,5,0,1
1495,2025-08-08,1,8,6,21,ORD,TVC,73,51,0,1,166,0.0060,0,40,0,8
1413,2025-08-11,0,0,2,8,ORD,LGA,94,51,0,1,166,0.0060,0,17,0,1
4389,2025-08-04,1,2,2,12,ORD,CID,36,29,0,1,50,0.0200,0,27,0,0
3603,2025-08-03,1,1,1,13,ORD,CMH,66,34,0,4,76,0.0526,0,35,0,6
416,2025-08-08,0,-2,6,21,ORD,MXP,215,150,0,3,243,0.0123,0,97,0,14
416,2025-08-08,0,-2,6,21,ORD,MXP,215,150,0,3,243,0.0123,0,97,0,14
224,2025-08-04,0,-6,2,9,ORD,BZN,611,51,0,1,166,0.0060,0,68,0,0
1946,2025-08-04,0,-7,2,15,ORD,LGA,67,51,0,1,166,0.0060,0,5,0,0
972,2025-08-04,1,31,2,17,ORD,BRU,155,155,1,4,318,0.0126,0,287,0,24
4389,2025-08-01,0,-6,6,12,ORD,CID,68,29,0,1,50,0.0200,0,25,0,12
5229,2025-08-07,0,-3,5,11,ORD,ILM,47,34,0,1,76,0.0132,0,16,0,0
2040,2025-08-04,0,-1,2,20,ORD,DEN,95,56,0,1,179,0.0056,0,49,0,4
1941,2025-08-05,0,-8,3,14,ORD,CVG,71,43,0,1,126,0.0079,0,41,0,12
3542,2025-08-14,1,4,5,17,ORD,YUL,62,42,0,1,76,0.0132,0,12,0,0
1363,2025-08-10,1,2,1,12,ORD,LAX,75,62,0,1,200,0.0050,0,32,0,10
1314,2025-08-05,1,31,3,14,ORD,IAH,3,62,1,1,200,0.0050,0,74,0,30
4395,2025-08-05,0,-6,3,18,ORD,TVC,76,29,0,2,50,0.0400,0,26,0,1
1347,2025-08-09,1,19,7,16,ORD,FLL,85,56,0,1,179,0.0056,0,65,0,11
1576,2025-08-04,1,63,2,20,ORD,LGA,-10,51,1,1,166,0.0060,0,5,0,0
1448,2025-08-08,0,-12,6,14,ORD,BUF,73,43,0,1,126,0.0079,0,30,0,16
1643,2025-08-01,0,-3,6,7,ORD,SEA,600,56,0,1,179,0.0056,0,1,0,12
920,2025-08-07,1,15,5,18,ORD,LHR,315,145,0,1,167,0.0060,0,24,0,6
1785,2025-08-07,1,9,5,16,ORD,EWR,111,56,0,1,179,0.0056,0,18,0,7
5219,2025-08-03,1,1,1,20,ORD,GRB,115,29,0,1,50,0.0200,0,13,0,0
4636,2025-08-04,0,-2,2,17,ORD,SBN,45,29,0,1,50,0.0200,0,32,0,15
580,2025-08-11,1,9,2,16,ORD,PDX,81,56,0,1,179,0.0056,0,98,0,4
4645,2025-08-05,0,-12,3,11,ORD,FWA,190,29,0,1,50,0.0200,0,23,0,7
490,2025-08-07,0,-6,5,8,ORD,SAT,68,43,0,1,126,0.0079,0,25,0,24
3718,2025-08-03,0,-2,1,9,ORD,MSN,67,39,0,1,76,0.0132,0,76,0,2
